Time,Centre position X,Centre position Y
195.500,423,56
195.620,423,57
195.740,424,60
195.860,426,63
195.980,428,66
196.100,429,71
196.210,429,78
196.330,429,79
196.440,429,78
196.550,430,79
196.660,430,79
196.780,431,79
196.900,431,79
197.020,431,79
197.140,431,79
197.250,431,80
197.360,431,80
197.480,431,80
197.600,430,79
197.720,427,75
197.830,427,74
197.960,426,75
198.070,427,75
198.180,428,72
198.290,427,71
198.410,427,70
198.520,427,70
198.640,426,69
198.740,424,68
198.850,424,67
198.970,425,66
199.090,424,66
199.200,424,65
199.320,424,63
199.430,426,62
199.550,426,62
199.680,426,63
199.790,426,63
199.910,426,63
200.010,427,63
200.130,427,63
200.240,427,63
200.360,427,63
200.480,427,63
200.600,427,62
